Optimas, 506(0 5 2 1 4 3 6), 3025(4 1 2 0 3 6 5), 1680(2 3 0 1 4 5 6), 2147(2 6 5 1 4 3 0),,,,,,,,,,,,,,
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,5040,100,53,2,1,1,2,102,33847,210495,28253,29257,69,83,76,116,30014,60
99,4989.6,99,33,0,0,0,0,72,33079,203866,29177,28661,364,78,72,107,28038,47
98,4939.2,98,28,0,0,0,0,72,32979,204548,28569,28119,69,84,94,113,29548,48
97,4888.8,97,28,0,0,0,0,70,32234,203181,29413,27766,70,77,77,132,28646,48
96,4838.4,96,25,0,0,0,0,70,30417,200688,25713,25821,68,79,73,115,29354,47
95,4788,95,37,0,0,0,0,77,29702,201146,26759,26130,68,77,71,107,28824,48
94,4737.6,94,27,0,0,0,0,70,31034,201195,27923,26546,68,81,74,107,28391,48
93,4687.2,93,26,0,0,0,0,100,29277,198458,25824,25047,70,80,72,107,28793,48
92,4636.8,92,35,0,0,0,0,73,30863,202160,27499,26493,69,78,72,107,28399,79
91,4586.4,91,26,0,0,0,0,70,30837,201193,27433,26640,68,118,72,108,28375,46
90,4536,90,56,0,0,0,0,71,32626,202810,28667,28227,68,84,74,107,28832,48
89,4485.6,89,25,0,0,0,0,72,30390,201206,27102,26185,68,77,72,153,29234,63
88,4435.2,88,28,0,0,0,0,71,30607,200475,27257,26709,68,79,78,107,28785,49
87,4384.8,87,28,0,0,0,0,71,32739,202858,29270,28730,67,77,72,106,28650,47
86,4334.4,86,52,0,0,0,0,91,30911,202326,27736,26788,69,78,72,107,28382,47
85,4284,85,27,0,0,0,0,74,31280,201728,27504,27161,68,78,73,108,28633,47
84,4233.6,84,37,0,0,0,0,73,29786,201186,26949,26098,67,128,75,106,29035,48
83,4183.2,83,34,0,0,0,0,70,30419,201616,26335,26377,67,77,71,107,29151,200
82,4132.8,82,27,0,0,0,0,107,31328,201976,26869,27122,68,79,72,107,28794,48
81,4082.4,81,28,0,0,0,0,78,32191,201795,27897,27504,82,77,71,107,28713,48
80,4032,80,28,0,0,0,0,74,31213,202535,27551,27030,69,80,73,108,29237,48
79,3981.6,79,25,0,0,0,0,97,30532,201753,26066,26117,67,81,71,112,29290,47
78,3931.2,78,27,0,0,0,0,70,29939,200518,26369,25336,68,78,82,148,29211,47
77,3880.8,77,29,0,0,0,0,70,30836,200392,25974,26775,69,81,79,107,29529,47
76,3830.4,76,26,0,0,0,0,78,31810,202473,27182,28075,74,78,73,108,29643,52
75,3780,75,32,0,0,0,0,72,30154,199475,25683,25646,70,93,72,106,28644,79
74,3729.6,74,41,0,0,0,0,78,32110,202916,28126,28041,103,97,110,107,28974,47
73,3679.2,73,25,0,0,0,0,71,31722,202837,26881,26817,103,77,71,107,28985,47
72,3628.8,72,26,7,0,0,0,72,30792,201855,27496,26347,69,78,72,109,28151,47
71,3578.4,71,27,0,0,0,0,81,29902,201104,25943,26009,69,78,72,107,28635,47
70,3528,70,28,2,0,0,0,110,30219,200438,26904,26229,68,77,71,137,28470,48
69,3477.6,69,27,0,0,0,0,70,31210,200454,26982,27413,67,78,73,114,28746,48
68,3427.2,68,28,0,0,0,0,69,31854,200461,27121,27978,68,78,72,107,29346,47
67,3376.8,67,35,0,0,0,0,73,30808,200292,27042,26775,67,82,75,108,29775,48
66,3326.4,66,25,0,0,0,0,72,30200,200835,25459,25679,70,78,72,107,28738,48
65,3276,65,34,0,0,0,0,71,31447,201988,27350,27494,68,78,72,107,29096,47
64,3225.6,64,28,0,0,0,0,70,33641,203387,29235,29378,68,126,72,110,28283,47
63,3175.2,63,28,0,0,0,0,70,30870,200091,27099,26680,68,78,72,106,28724,47
62,3124.8,62,29,0,0,0,0,71,30027,200048,26117,25900,68,77,73,106,29131,47
61,3074.4,61,28,0,0,0,0,75,33223,202630,28935,29103,67,77,71,106,28456,48
60,3024,60,28,0,0,0,0,86,31237,200389,25917,27061,68,82,73,107,29790,49
59,2973.6,59,29,0,0,0,0,71,31377,202496,27510,27407,70,84,73,108,29301,47
58,2923.2,58,28,0,0,0,0,69,31352,200898,27822,27265,72,80,73,106,28380,47
57,2872.8,57,26,0,0,0,0,72,30793,200210,26132,26503,101,79,72,107,28776,52
56,2822.4,56,33,0,0,0,0,70,31633,201008,27688,27329,67,77,71,106,28362,47
55,2772,55,29,0,0,0,0,70,32328,201573,28126,28423,68,78,71,107,28418,50
54,2721.6,54,25,0,0,0,0,70,33505,202109,29040,29138,68,77,71,117,28680,47
53,2671.2,53,45,0,0,0,0,73,31850,202421,26569,27938,71,80,73,137,28729,55
52,2620.8,52,26,0,0,0,0,70,31600,200017,27775,27623,73,78,72,107,28658,47
51,2570.4,51,62,0,0,0,0,105,32030,200586,26497,27413,67,79,71,107,28738,47
50,2520,50,27,0,0,0,0,76,32527,201368,27916,28573,69,77,74,106,28878,49
49,2469.6,49,36,0,0,0,0,71,32844,202397,27988,28261,68,78,72,109,28641,48
48,2419.2,48,29,0,0,0,0,70,30592,199714,25370,26577,68,77,417,106,29723,51
47,2368.8,47,27,0,0,0,0,70,31051,200676,26819,27070,68,78,72,106,28445,47
46,2318.4,46,31,0,0,0,0,70,32763,202076,26643,28079,67,77,71,106,29097,47
45,2268,45,27,0,0,0,0,105,31057,199461,27111,27204,68,77,71,106,28260,47
44,2217.6,44,28,0,0,0,0,71,32813,202018,27068,28165,67,77,72,106,29437,418
43,2167.2,43,27,0,0,0,0,70,32916,202215,27324,28647,67,81,72,106,29135,48
42,2116.8,42,37,0,0,0,0,105,30820,200302,26501,26676,67,79,71,148,28482,47
41,2066.4,41,27,0,0,0,0,72,29353,199835,24973,25404,101,78,72,107,28891,48
40,2016,40,35,0,0,0,0,69,32746,203644,27703,28146,68,78,72,131,28308,47
39,1965.6,39,25,0,0,0,0,70,31204,200390,27054,27415,74,79,73,105,27995,47
38,1915.2,38,36,0,0,0,0,93,30773,199388,27060,26660,67,77,71,105,27697,48
37,1864.8,37,28,0,0,0,0,70,31838,200543,26953,27712,69,78,71,105,28393,48
36,1814.4,36,30,0,0,0,0,70,31345,199706,26918,27089,100,78,72,106,28307,48
35,1764,35,25,0,0,0,0,72,31138,200001,27078,27233,81,79,73,105,28388,47
34,1713.6,34,29,0,0,0,0,71,31265,200355,26083,27029,72,78,111,105,28534,50
33,1663.2,33,29,0,0,0,0,72,32864,202017,28334,28853,67,79,73,106,28064,47
32,1612.8,32,43,0,0,0,0,70,32274,201633,27979,28356,68,77,72,474,28075,50
31,1562.4,31,29,0,0,0,0,71,31269,199250,26820,27118,68,79,73,106,27390,48
30,1512,30,28,0,0,0,0,72,30575,200776,26018,26810,68,125,72,104,28293,48
29,1461.6,29,26,0,0,0,0,84,30519,198263,26792,26243,67,77,71,103,27156,47
28,1411.2,28,29,0,0,0,0,73,31114,199177,26264,27017,69,82,74,104,27781,48
27,1360.8,27,561,0,0,0,0,94,31619,201581,26688,27617,68,94,73,104,28569,47
26,1310.4,26,28,0,0,0,0,96,31748,201692,27078,27611,69,78,74,103,28337,52
25,1260,25,33,0,0,0,0,100,31418,199942,27300,27181,72,77,72,103,28141,47
24,1209.6,24,27,0,0,0,0,69,29601,198912,25438,25566,70,77,72,153,27744,47
23,1159.2,23,27,0,0,0,0,72,30619,198740,26209,26712,68,116,71,103,27718,48
22,1108.8,22,35,0,0,0,0,69,31216,199814,27015,27354,69,77,72,108,28164,47
21,1058.4,21,28,0,0,0,0,71,31568,201683,27351,27968,67,78,73,104,28095,47
20,1008,20,31,0,0,0,0,70,33440,202952,29958,30011,67,84,614,101,28157,47
19,957.6,19,39,0,0,0,0,74,31222,200890,27691,27108,72,206,71,102,27791,48
18,907.2,18,36,0,0,0,0,70,32169,200158,27343,27794,68,79,74,102,27950,167
17,856.8,17,27,0,0,0,0,70,31390,200766,28098,27757,68,78,72,101,27372,47
16,806.4,16,566,0,0,0,0,123,32613,200138,28484,28682,75,77,71,103,27925,47
15,756,15,41,0,0,0,0,95,30112,198935,26842,26093,67,121,119,104,27280,47
14,705.6,14,25,0,0,0,0,72,31082,200899,27433,26990,67,95,73,101,27782,47
13,655.2,13,37,0,0,0,0,71,28725,197311,25164,24201,68,79,72,106,27848,48
12,604.8,12,150,0,0,0,0,73,30467,199678,26767,26163,71,79,73,101,27559,48
11,554.4,11,42,0,0,0,0,70,31722,200339,27771,27723,103,82,72,105,27924,48
10,504,10,25,0,0,0,0,70,31127,198138,26936,26899,67,77,71,147,27272,48
9,453.6,9,26,0,0,0,0,94,30897,198353,27580,26681,82,79,72,102,27972,47
8,403.2,8,28,0,0,0,0,87,31141,200264,26722,26813,81,77,72,134,27481,74
7,352.8,7,26,0,0,0,0,70,33537,202206,29698,29197,67,77,71,100,26485,47
6,302.4,6,28,0,0,0,0,71,30657,197657,27553,26764,68,395,72,100,27032,56
5,252,5,41,0,0,0,0,71,29279,194765,25848,25371,67,77,71,97,27254,49
4,201.6,4,28,0,0,0,0,73,30100,196054,27815,25481,81,78,204,97,26432,47
3,151.2,3,32,0,0,0,0,70,30247,195500,25842,26311,68,408,71,96,27196,48
2,100.8,2,27,0,0,0,0,72,30085,194139,27550,25729,68,78,72,96,27051,48
1,50.4,1,26,0,0,0,0,121,28479,191164,26368,24011,68,77,71,97,27288,47
