Optimas, 421(0 1 2 3 7 6 8 4 9 5)
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,3628800,100,47,0,1,1,1,157,7115,62710,6830,6103,145,50,39,62,9461,33
99,3592512,99,14,0,0,0,0,33,5948,57997,5420,4874,33,36,34,55,7455,24
98,3556224,98,14,0,0,0,0,34,5743,57851,5620,4789,33,36,34,54,7509,24
97,3519936,97,14,0,0,0,0,34,5881,57604,5517,4880,33,36,37,56,7465,24
96,3483648,96,14,0,0,0,0,71,5967,57475,5509,4945,33,82,72,60,7421,24
95,3447360,95,15,0,0,0,0,33,5859,57810,5491,4868,33,36,36,55,7389,28
94,3411072,94,14,0,0,0,0,40,6113,58174,5544,4910,32,36,35,54,7420,24
93,3374784,93,13,0,0,0,0,34,5662,57220,5447,4753,35,40,34,54,7252,24
92,3338496,92,15,0,0,0,0,131,5881,57766,5463,4973,33,36,34,54,7424,24
91,3302208,91,15,0,0,0,0,40,6104,58140,5616,4957,33,37,34,56,7616,24
90,3265920,90,14,0,0,0,0,36,5967,57370,5478,5064,33,36,34,54,7499,24
89,3229632,89,16,0,0,0,0,68,5850,57542,5587,4750,33,37,34,55,7371,24
88,3193344,88,14,0,0,0,0,34,5754,57425,5526,4835,33,36,34,54,7442,24
87,3157056,87,15,0,0,0,0,122,5946,57338,5491,4947,32,36,34,55,7410,24
86,3120768,86,15,0,0,0,0,33,5876,57302,5493,4939,34,37,35,54,7374,24
85,3084480,85,14,0,0,0,0,33,5785,57444,5532,4704,33,37,34,54,7307,24
84,3048192,84,19,0,0,0,0,34,5980,57738,5526,4959,32,36,34,54,7509,25
83,3011904,83,14,0,0,0,0,33,5752,57521,5511,4739,33,36,34,54,7336,25
82,2975616,82,14,0,0,0,0,58,5837,57350,5484,4885,33,36,34,54,7390,24
81,2939328,81,15,0,0,0,0,34,5960,57560,5523,4941,43,44,34,54,7490,24
80,2903040,80,19,0,0,0,0,39,6028,57498,5536,4950,33,36,51,54,7430,24
79,2866752,79,15,0,0,0,0,34,5715,57727,5438,4711,33,38,34,54,7301,24
78,2830464,78,14,0,0,0,0,35,5795,58156,5533,4768,33,36,34,54,7350,24
77,2794176,77,14,0,0,0,0,63,5986,57973,5621,4840,41,37,35,58,7464,24
76,2757888,76,18,0,0,0,0,35,5921,57219,5478,4819,33,36,73,55,7404,24
75,2721600,75,20,0,0,0,0,34,5920,57300,5544,4884,33,37,65,55,7311,25
74,2685312,74,14,0,0,0,0,34,5826,57347,5605,4746,47,36,35,54,7406,24
73,2649024,73,14,0,0,0,0,33,6054,57256,5446,5040,33,37,34,54,7670,24
72,2612736,72,13,0,0,0,0,55,6010,57424,5437,4871,34,42,37,85,7390,30
71,2576448,71,14,0,0,0,0,33,5739,57025,5541,4684,33,36,34,56,7301,24
70,2540160,70,14,0,0,0,0,34,5964,57405,5553,4908,33,36,34,54,7484,24
69,2503872,69,15,0,0,0,0,54,6095,57369,5442,5061,32,36,39,124,7541,24
68,2467584,68,13,0,0,0,0,34,5895,57570,5521,4999,33,36,34,54,7538,24
67,2431296,67,16,0,0,0,0,34,6229,57674,5503,4994,33,36,35,53,7584,24
66,2395008,66,15,0,0,0,0,34,5875,57503,5511,4963,33,36,34,54,7482,24
65,2358720,65,17,0,0,0,0,33,5987,57438,5498,4948,33,36,35,53,7559,24
64,2322432,64,14,0,0,0,0,34,5910,57632,5429,4940,34,36,34,54,7453,24
63,2286144,63,14,0,0,0,0,33,5754,57472,5481,4778,33,36,34,54,7299,25
62,2249856,62,17,0,0,0,0,33,5946,57397,5462,4902,33,36,34,54,7442,24
61,2213568,61,15,0,0,0,0,33,5955,57071,5399,4870,32,36,34,53,7343,25
60,2177280,60,15,0,0,0,0,34,5972,57798,5464,4996,34,36,35,53,7476,25
59,2140992,59,16,0,0,0,0,33,5867,57696,5484,5031,33,37,34,54,7453,24
58,2104704,58,21,0,0,0,0,33,5897,57142,5525,4946,33,36,34,54,7340,24
57,2068416,57,18,0,0,0,0,56,5838,57724,5524,4842,33,36,34,53,7328,24
56,2032128,56,14,0,0,0,0,33,5925,57755,5397,4840,32,36,34,53,7370,25
55,1995840,55,17,0,0,0,0,35,5766,57521,5465,4785,32,36,35,54,7296,27
54,1959552,54,15,0,0,0,0,34,5914,57385,5443,5035,33,37,34,88,7391,24
53,1923264,53,19,0,0,0,0,50,6263,58040,5798,5357,62,38,44,54,7732,24
52,1886976,52,16,0,0,0,0,50,5800,57179,5507,4889,33,36,36,54,7297,24
51,1850688,51,15,0,0,0,0,33,5754,57190,5515,4872,33,36,34,53,7224,24
50,1814400,50,13,0,0,0,0,34,5882,57439,5469,4918,32,36,34,53,7331,24
49,1778112,49,15,0,0,0,0,33,5774,57147,5368,4886,33,37,34,53,7157,24
48,1741824,48,15,0,0,0,0,34,5855,57471,5549,4990,33,36,34,52,7330,24
47,1705536,47,14,0,0,0,0,39,5838,57296,5508,4727,33,37,63,53,7135,24
46,1669248,46,15,0,0,0,0,41,6074,57574,5698,5105,36,50,34,53,7490,24
45,1632960,45,19,0,0,0,0,35,5911,56995,5418,4896,34,38,34,53,7385,24
44,1596672,44,14,0,0,0,0,34,5904,57234,5530,4916,33,37,36,53,7464,25
43,1560384,43,15,0,0,0,0,32,6011,57472,5521,4842,33,37,35,52,7330,23
42,1524096,42,15,0,0,0,0,42,6034,57382,5479,5105,33,36,34,52,7342,24
41,1487808,41,15,0,0,0,0,34,5966,57341,5520,5030,32,46,35,52,7232,24
40,1451520,40,14,0,0,0,0,35,6048,57398,5509,5102,33,36,41,53,7388,24
39,1415232,39,14,0,0,0,0,33,5854,57308,5587,4971,32,37,34,52,7298,24
38,1378944,38,53,0,0,0,0,35,6096,57287,5468,5124,33,37,34,52,7311,24
37,1342656,37,14,0,0,0,0,73,5903,57492,5452,4985,33,36,34,82,7262,24
36,1306368,36,14,0,0,0,0,33,6862,58463,6151,5979,33,36,34,53,8333,50
35,1270080,35,14,0,0,0,0,42,6098,57268,5341,4971,35,36,34,53,7334,24
34,1233792,34,18,0,0,0,0,34,5979,57327,5453,4995,63,37,34,53,7297,24
33,1197504,33,14,0,0,0,0,34,6078,58399,5535,5078,33,37,36,54,7381,24
32,1161216,32,14,0,0,0,0,35,5869,57812,5385,4979,33,36,34,53,7200,24
31,1124928,31,16,0,0,0,0,34,6196,57634,5401,5182,33,47,37,59,7357,24
30,1088640,30,13,0,0,0,0,33,5958,57323,5513,5117,33,36,34,57,7206,24
29,1052352,29,18,0,0,0,0,50,6048,57793,5491,5163,34,36,34,51,7365,24
28,1016064,28,15,0,0,0,0,36,6176,57494,5499,5196,34,37,34,51,7389,24
27,979776,27,19,0,0,0,0,35,5932,57382,5461,5042,33,36,34,51,7141,23
26,943488,26,15,0,0,0,0,34,6219,57317,5564,5273,34,37,34,53,7337,27
25,907200,25,14,0,0,0,0,34,6037,57249,5456,5066,49,37,34,52,7124,24
24,870912,24,15,0,0,0,0,64,6099,56877,5420,5155,40,38,34,52,7256,24
23,834624,23,14,0,0,0,0,49,6020,57187,5423,5206,34,37,34,52,7167,24
22,798336,22,19,0,0,0,0,34,6288,57589,5431,5467,33,36,34,52,7466,24
21,762048,21,13,0,0,0,0,33,6402,57604,5272,5505,33,36,34,51,7255,24
