Optimas, 1, 719
H-Axis, Max distance, Ratio,Ours-30
100,720,100,145
99,712.8,99,94
98,705.6,98,94
97,698.4,97,105
96,691.2,96,56
95,684,95,43
94,676.8,94,39
93,669.6,93,40
92,662.4,92,40
91,655.2,91,44
90,648,90,40
89,640.8,89,42
88,633.6,88,43
87,626.4,87,40
86,619.2,86,42
85,612,85,45
84,604.8,84,39
83,597.6,83,40
82,590.4,82,48
81,583.2,81,53
80,576,80,40
79,568.8,79,39
78,561.6,78,42
77,554.4,77,39
76,547.2,76,38
75,540,75,53
74,532.8,74,39
73,525.6,73,38
72,518.4,72,40
71,511.2,71,46
70,504,70,39
69,496.8,69,45
68,489.6,68,45
67,482.4,67,39
66,475.2,66,42
65,468,65,41
64,460.8,64,39
63,453.6,63,39
62,446.4,62,46
61,439.2,61,38
60,432,60,41
59,424.8,59,43
58,417.6,58,39
57,410.4,57,40
56,403.2,56,39
55,396,55,39
54,388.8,54,39
53,381.6,53,39
52,374.4,52,41
51,367.2,51,43
50,360,50,39
49,352.8,49,43
48,345.6,48,39
47,338.4,47,42
46,331.2,46,42
45,324,45,43
44,316.8,44,40
43,309.6,43,44
42,302.4,42,41
41,295.2,41,40
40,288,40,41
39,280.8,39,42
38,273.6,38,43
37,266.4,37,49
36,259.2,36,43
35,252,35,43
34,244.8,34,43
33,237.6,33,49
32,230.4,32,44
31,223.2,31,51
30,216,30,45
29,208.8,29,43
28,201.6,28,48
27,194.4,27,46
26,187.2,26,47
25,180,25,45
24,172.8,24,45
23,165.6,23,46
22,158.4,22,50
21,151.2,21,53
20,144,20,45
19,136.8,19,47
18,129.6,18,48
17,122.4,17,35
16,115.2,16,37
15,108,15,33
14,100.8,14,38
13,93.6,13,34
12,86.4,12,36
11,79.2,11,34
10,72,10,33
9,64.8,9,38
8,57.6,8,35
7,50.4,7,36
6,43.2,6,38
5,36,5,34
4,28.8,4,38
3,21.6,3,40
2,14.4,2,36
1,7.2,1,37
