70%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
 ,2241,[3 0 5 2 4 6 1],4257,[5 6 2 1 3 4 0],4123,[5 4 1 6 0 3 2],1307,[1 5 6 2 4 3 0],4728,[6 3 2 0 1 4 5],130,[0 2 1 4 6 3 5],1618,[2 1 4 3 6 0 5],3949,[5 2 6 3 0 4 1],2852,[3 6 4 5 1 0 2],4561,[6 2 0 1 3 5 4]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
1,1575,[2 1 0 5 4 6 3],2689,[3 5 2 0 1 6 4],2969,[4 0 5 3 6 2 1],1086,[1 4 0 3 2 5 6],2621,[3 4 6 0 5 2 1],2600,[3 4 5 1 2 0 6],3226,[4 2 6 1 5 0 3],1593,[2 1 3 4 5 6 0],1039,[1 3 5 2 0 6 4],3589,[4 6 5 2 0 3 1]
3,3679,[5 0 4 2 1 6 3],2562,[3 4 1 6 0 2 5],2002,[2 5 4 1 6 0 3],731,[1 0 2 4 6 5 3],3822,[5 1 6 2 0 3 4],3228,[4 2 6 3 0 1 5],1940,[2 5 0 6 3 1 4],2898,[4 0 1 6 2 3 5],1172,[1 4 5 6 2 0 3],3321,[4 3 5 1 2 6 0]
5,2926,[4 0 2 6 5 1 3],2786,[3 6 1 0 4 2 5],3991,[5 3 1 2 0 6 4],1934,[2 5 0 4 3 1 6],2697,[3 5 2 1 4 6 0],1819,[2 4 0 6 1 5 3],1291,[1 5 4 6 0 3 2],3445,[4 5 3 2 0 6 1],967,[1 3 0 4 2 6 5],3013,[4 1 0 5 2 6 3]
7,3616,[5 0 1 4 6 2 3],3835,[5 1 6 4 0 3 2],4351,[6 0 2 3 1 5 4],431,[0 4 3 6 5 2 1],4361,[6 0 2 4 5 3 1],989,[1 3 2 0 6 5 4],2125,[2 6 4 3 0 5 1],2718,[3 5 4 1 0 2 6],2129,[2 6 4 3 5 1 0],2901,[4 0 1 6 3 5 2]
9,861,[1 2 0 6 4 5 3],3761,[5 1 2 4 6 3 0],1953,[2 5 1 3 4 6 0],3233,[4 2 6 3 5 1 0],2089,[2 6 3 0 1 5 4],446,[0 4 5 3 2 1 6],1892,[2 4 5 6 1 0 3],4085,[5 4 0 1 6 3 2],2575,[3 4 2 1 0 6 5],4393,[6 0 4 1 2 5 3]
11,2145,[2 6 5 1 3 4 0],1374,[1 6 3 2 0 4 5],3965,[5 3 0 1 6 4 2],3080,[4 1 5 2 3 0 6],4663,[6 2 5 1 0 4 3],3487,[4 6 0 2 1 5 3],2574,[3 4 2 1 0 5 6],3184,[4 2 3 5 6 0 1],2614,[3 4 5 6 2 0 1],1892,[2 4 5 6 1 0 3]
13,2145,[2 6 5 1 3 4 0],3512,[4 6 1 2 3 0 5],2869,[3 6 5 2 0 4 1],3226,[4 2 6 1 5 0 3],3188,[4 2 3 6 1 0 5],703,[0 6 5 2 1 4 3],2644,[3 5 0 1 6 2 4],3690,[5 0 4 6 1 2 3],1421,[1 6 5 0 4 3 2],2064,[2 6 1 0 3 4 5]
