Optimas, 2241(3 0 5 2 4 6 1), 4257(5 6 2 1 3 4 0), 4123(5 4 1 6 0 3 2), 1307(1 5 6 2 4 3 0), 4728(6 3 2 0 1 4 5), 130(0 2 1 4 6 3 5), 1618(2 1 4 3 6 0 5), 3949(5 2 6 3 0 4 1), 2852(3 6 4 5 1 0 2), 4561(6 2 0 1 3 5 4)
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,5040,100,141,12,140,0,0,47,6194,37481,5024,4365,32,44,43,47,5654,29
99,4989.6,99,14,0,0,0,0,27,4241,31649,3638,3402,25,27,25,40,4712,18
98,4939.2,98,13,0,0,0,0,124,4195,31498,3589,3397,25,27,25,40,4591,18
97,4888.8,97,13,0,0,0,0,26,4157,31731,3553,3395,25,28,25,39,4647,18
96,4838.4,96,20,0,0,0,0,27,4424,31664,3805,3557,25,27,26,41,4667,19
95,4788,95,13,0,0,0,0,25,4253,31202,3654,3402,25,27,25,40,4623,18
94,4737.6,94,13,0,0,0,0,25,4099,31452,3630,3436,25,27,25,40,4492,18
93,4687.2,93,18,0,0,0,0,25,4374,31921,3740,3454,25,27,25,40,4644,23
92,4636.8,92,11,0,0,0,0,26,4194,31316,3550,3430,27,28,31,40,4700,18
91,4586.4,91,13,0,0,0,0,27,4408,31964,3874,3588,57,34,27,40,4646,19
90,4536,90,13,0,0,0,0,26,4108,31548,3487,3371,26,27,25,40,4661,18
89,4485.6,89,13,0,0,0,0,26,4150,31564,3658,3384,25,27,25,40,4458,19
88,4435.2,88,16,0,0,0,0,26,4112,31165,3557,3376,27,28,25,44,4535,18
87,4384.8,87,12,0,0,0,0,25,4375,31340,3862,3525,25,27,25,40,4651,18
86,4334.4,86,19,0,0,0,0,25,4244,31587,3674,3536,26,27,25,40,4483,18
85,4284,85,78,0,0,0,0,27,4145,31431,3581,3383,25,27,25,41,4690,19
84,4233.6,84,13,0,0,0,0,51,4440,31856,3688,3548,25,30,25,40,4655,18
83,4183.2,83,13,0,0,0,0,27,4435,31962,3689,3604,27,28,26,40,4770,18
82,4132.8,82,13,0,0,0,0,26,4531,31692,3895,3655,25,33,25,40,4705,18
81,4082.4,81,13,0,0,0,0,26,4272,31211,3603,3413,25,28,25,41,4525,19
80,4032,80,13,0,0,0,0,28,4249,31164,3581,3400,27,30,25,40,4662,18
79,3981.6,79,13,0,0,0,0,26,4410,31397,3910,3652,26,27,25,39,4713,18
78,3931.2,78,11,0,0,0,0,26,4400,31490,3648,3600,25,27,25,40,4809,18
77,3880.8,77,13,0,0,0,0,25,4361,31223,3632,3541,25,27,25,123,4590,18
76,3830.4,76,11,0,0,0,0,26,4200,31364,3564,3326,25,28,25,39,4592,18
75,3780,75,11,0,0,0,0,26,4292,31543,3603,3397,26,28,25,40,4561,21
74,3729.6,74,11,0,0,0,0,27,4446,31923,3800,3616,26,28,26,40,4742,18
73,3679.2,73,13,0,0,0,0,54,4453,31759,3743,3600,26,27,25,40,4568,19
72,3628.8,72,12,0,0,0,0,28,4454,32008,3801,3541,25,29,25,41,4538,19
71,3578.4,71,13,0,0,0,0,27,4250,31377,3334,3100,26,28,25,41,4785,18
70,3528,70,14,0,0,0,0,26,4216,31195,3725,3498,26,27,25,70,4645,18
69,3477.6,69,12,0,0,0,0,28,4333,31358,3656,3478,31,27,25,40,4607,18
68,3427.2,68,14,0,0,0,0,26,4388,31296,3787,3495,27,28,25,41,4646,18
67,3376.8,67,23,0,0,0,0,26,4267,31588,3752,3521,26,27,25,40,4600,18
66,3326.4,66,14,0,0,0,0,90,4141,31689,3567,3399,33,28,25,39,4470,18
65,3276,65,13,0,0,0,0,26,4111,30879,3546,3373,27,27,72,40,4531,18
64,3225.6,64,13,0,0,0,0,26,4255,31413,3543,3443,25,27,25,39,4581,18
63,3175.2,63,13,0,0,0,0,29,4144,31378,3450,3243,26,29,25,40,4618,19
62,3124.8,62,13,0,0,0,0,26,4334,31523,3728,3567,25,27,32,39,4650,18
61,3074.4,61,18,0,0,0,0,33,4569,31231,3985,3791,28,27,26,39,4571,18
60,3024,60,13,0,0,0,0,26,4101,31179,3493,3323,25,27,26,39,4595,19
59,2973.6,59,12,0,0,0,0,26,4291,31445,3681,3381,28,27,25,40,4738,18
58,2923.2,58,12,0,0,0,0,26,4647,31975,4112,3792,25,27,25,39,4880,18
57,2872.8,57,12,0,0,0,0,29,4256,31193,3603,3344,26,27,25,39,4469,18
56,2822.4,56,12,0,0,0,0,25,4167,31080,3501,3297,25,27,25,39,4526,18
55,2772,55,13,0,0,0,0,28,4304,31718,3676,3567,26,27,25,42,4658,18
54,2721.6,54,12,0,0,0,0,26,4270,31512,3699,3606,25,28,28,40,4656,18
53,2671.2,53,35,0,0,0,0,26,4195,31015,3451,3382,26,31,26,44,4506,18
52,2620.8,52,15,0,0,0,0,27,3915,31130,3248,3055,25,27,25,39,4551,18
51,2570.4,51,12,0,0,0,0,26,4380,31241,3686,3479,25,27,24,39,4576,18
50,2520,50,12,0,0,0,0,25,4307,31278,3662,3498,25,33,25,47,4500,18
49,2469.6,49,12,0,0,0,0,26,4333,31315,3685,3424,26,28,25,40,4524,23
48,2419.2,48,13,0,0,0,0,25,4367,31602,3669,3533,25,27,25,40,4627,18
47,2368.8,47,13,0,0,0,0,45,4183,31050,3622,3481,25,27,25,39,4546,18
46,2318.4,46,14,0,0,0,0,26,3899,30909,3238,3118,30,27,25,39,4251,18
45,2268,45,12,0,0,0,0,25,4418,31517,3801,3640,25,27,25,39,4592,18
44,2217.6,44,12,0,0,0,0,26,4352,31453,3749,3546,25,27,25,58,4526,18
43,2167.2,43,12,0,0,0,0,52,4298,32036,3640,3372,26,27,29,39,4755,19
42,2116.8,42,13,0,0,0,0,28,4545,32490,3981,3817,38,35,31,44,4624,20
41,2066.4,41,12,0,0,0,0,36,4384,32106,3816,3649,26,30,42,45,4548,18
40,2016,40,12,0,0,0,0,26,4384,31562,3630,3477,42,59,27,71,4577,21
39,1965.6,39,12,0,0,0,0,44,4416,31890,3813,3668,39,32,26,39,4582,19
38,1915.2,38,13,0,0,0,0,35,4303,31899,3692,3518,37,30,29,50,4546,34
37,1864.8,37,12,0,0,0,0,28,4376,31950,3768,3493,36,38,26,42,4523,28
36,1814.4,36,13,0,0,0,0,31,4594,31880,3877,3758,25,28,25,40,4671,18
35,1764,35,11,0,0,0,0,50,4473,32172,3760,3720,29,29,25,39,4581,91
34,1713.6,34,18,0,0,0,0,26,4193,31521,3636,3455,25,27,25,41,4332,20
33,1663.2,33,12,0,0,0,0,26,4397,31710,3781,3662,26,34,25,39,4471,20
32,1612.8,32,12,0,0,0,0,25,4459,31708,3753,3579,26,28,25,40,4452,19
31,1562.4,31,17,0,0,0,0,26,4265,31433,3523,3388,26,75,25,38,4446,18
30,1512,30,15,0,0,0,0,26,4421,31598,3788,3650,25,27,25,39,4575,18
29,1461.6,29,12,0,0,0,0,25,4440,31580,3842,3635,27,28,26,39,4639,18
28,1411.2,28,13,0,0,0,0,52,5471,33166,4768,4601,70,44,41,39,5546,18
27,1360.8,27,12,0,0,0,1,26,4069,31938,3552,3288,28,90,26,62,4276,26
26,1310.4,26,13,0,0,0,0,48,4480,31588,3728,3650,26,27,26,38,4456,18
25,1260,25,12,0,0,0,0,26,4233,31636,3581,3473,35,28,26,41,4511,19
24,1209.6,24,13,0,0,0,0,27,4525,32086,3803,3616,27,28,28,42,4436,22
23,1159.2,23,11,0,0,0,0,33,4444,32103,3723,3600,25,27,25,46,4485,30
22,1108.8,22,21,0,0,0,0,27,4282,31899,3604,3483,25,40,56,40,4524,19
21,1058.4,21,12,0,0,0,0,53,4144,31663,3250,3080,26,30,26,39,4528,20
20,1008,20,12,0,0,0,0,41,4424,31702,3812,3588,27,29,25,39,4396,18
19,957.6,19,12,0,0,0,0,26,4158,31231,3653,3438,26,27,27,42,4482,29
18,907.2,18,12,0,0,0,0,26,4302,31958,3683,3398,25,28,25,41,4540,18
17,856.8,17,21,0,0,0,0,27,4448,31957,3924,3792,25,27,25,38,4520,19
16,806.4,16,13,0,0,0,0,26,4268,31902,3767,3515,30,51,25,39,4411,18
15,756,15,14,0,0,0,0,27,3888,31453,3314,3095,25,30,26,43,4136,20
14,705.6,14,13,0,0,0,0,26,4366,31414,3910,3564,25,27,26,42,4578,20
13,655.2,13,18,0,0,0,0,32,4191,31546,3631,3298,25,27,25,40,4375,18
12,604.8,12,14,0,0,0,0,27,4314,31966,3627,3469,27,28,25,39,4530,18
11,554.4,11,13,0,0,0,0,26,4496,32101,3797,3582,58,27,25,39,4405,19
10,504,10,12,0,0,0,0,27,4312,32102,3668,3506,28,32,25,40,4468,19
9,453.6,9,12,0,0,0,0,27,3806,31644,3376,3013,26,27,25,39,4086,19
8,403.2,8,13,0,0,0,0,26,4378,31756,3657,3507,42,31,71,40,4510,19
7,352.8,7,12,0,0,0,0,26,4458,32269,3843,3599,27,27,25,39,4443,19
6,302.4,6,23,0,0,0,0,30,4411,32006,3700,3446,32,30,26,39,4579,22
5,252,5,14,0,0,0,0,27,4497,32271,3885,3489,30,31,27,41,4570,23
4,201.6,4,31,0,0,0,0,26,4311,32107,3774,3404,26,32,25,40,4419,19
