40%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
 ,2241,[3 0 5 2 4 6 1],4257,[5 6 2 1 3 4 0],4123,[5 4 1 6 0 3 2],1307,[1 5 6 2 4 3 0],4728,[6 3 2 0 1 4 5],130,[0 2 1 4 6 3 5],1618,[2 1 4 3 6 0 5],3949,[5 2 6 3 0 4 1],2852,[3 6 4 5 1 0 2],4561,[6 2 0 1 3 5 4]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
1,1761,[2 3 5 1 4 6 0],3644,[5 0 2 6 3 1 4],3740,[5 1 0 6 3 2 4],2363,[3 1 5 2 6 4 0],4009,[5 3 2 0 1 6 4],288,[0 3 4 1 2 5 6],2975,[4 0 5 6 3 2 1],3555,[4 6 3 0 2 5 1],2426,[3 2 1 0 5 4 6],4261,[5 6 2 3 0 4 1]
3,2920,[4 0 2 5 6 1 3],3944,[5 2 6 1 3 0 4],3518,[4 6 1 3 2 0 5],2099,[2 6 3 1 5 4 0],4282,[5 6 3 1 4 0 2],1361,[1 6 2 4 5 3 0],2733,[3 5 4 6 1 2 0],3473,[4 5 6 2 3 1 0],2146,[2 6 5 1 4 0 3],4682,[6 3 0 1 4 2 5]
5,2499,[3 2 6 0 4 5 1],4265,[5 6 2 3 4 1 0],3130,[4 2 0 3 6 1 5],1674,[2 1 6 5 0 3 4],3358,[4 3 6 5 2 0 1],446,[0 4 5 3 2 1 6],2702,[3 5 2 4 1 0 6],4321,[6 0 1 2 3 5 4],3348,[4 3 6 2 0 1 5],3688,[5 0 4 3 6 1 2]
7,2331,[3 1 4 0 5 6 2],4293,[5 6 3 4 1 2 0],3659,[5 0 3 2 6 4 1],1160,[1 4 5 2 3 0 6],4212,[5 6 0 3 1 2 4],1282,[1 5 4 2 6 0 3],2007,[2 5 4 3 1 6 0],4378,[6 0 3 2 5 1 4],1980,[2 5 3 4 0 1 6],3269,[4 3 1 0 6 5 2]
9,3011,[4 1 0 3 6 5 2],3297,[4 3 2 1 5 6 0],2604,[3 4 5 2 0 1 6],2539,[3 4 0 6 1 5 2],4400,[6 0 4 2 3 1 5],1027,[1 3 4 6 0 5 2],2357,[3 1 5 0 6 4 2],3017,[4 1 0 5 6 3 2],1850,[2 4 3 0 5 1 6],4374,[6 0 3 2 1 4 5]
11,2386,[3 1 6 2 5 0 4],3413,[4 5 2 0 6 3 1],3445,[4 5 3 2 0 6 1],807,[1 0 5 4 3 6 2],2936,[4 0 3 2 5 1 6],1124,[1 4 2 6 3 0 5],2088,[2 6 3 0 1 4 5],3178,[4 2 3 1 6 0 5],2556,[3 4 1 5 0 2 6],3892,[5 2 3 0 6 1 4]
13,1960,[2 5 1 4 6 0 3],3799,[5 1 4 2 0 6 3],2483,[3 2 5 1 6 4 0],1286,[1 5 4 3 2 0 6],3828,[5 1 6 3 0 2 4],1140,[1 4 3 5 0 2 6],1106,[1 4 2 0 5 3 6],3028,[4 1 2 0 6 3 5],3237,[4 2 6 5 1 3 0],4254,[5 6 2 1 0 3 4]
